Année;Championnat;Bassin;Code_Course;Type_Finale;Position;Temps;Club;Club_1;Club_2;Club_3;Club_4;Rameur_1;Rameur_2;Rameur_3;Rameur_4;Rameur_5;Rameur_6;Rameur_7;Rameur_8;Barreur
2014;U17;Vichy;U17H4-;FA;3.0;04:44.01;Club Nautique de Nice;CLUB NAUTIQUE DE NICE;;;;Clement ARTUS;Omri CLAIR;Romain RAVERA;Julien NALLBANI BARBARAS;;;;;
2023;FFSU;Brive-la-Gaillarde;SH1x FFSU;FB;4.0;04:44.05;AS U Polytechnique Hauts de France;AS U POLYTECHNIQUE HAUTS DE FRANCE;;;;Maxime LEMAITRE;;;;;;;;
2017;PR;Cazaubon;SH1x TA;FA;2.0;04:44.08;Boulogne 92;BOULOGNE 92;;;;Christophe LAVIGNE;;;;;;;;
2012;UNSS COLLEGE;Libourne;CF4Yx+;FD;2.0;04:44.10;Collège Anna de Noailles Larche;COLLEGE ANNA DE NOAILLES LARCHE;;;;Juliette WEMELLE;Laura TOSI;Marie Lea DA SILVA;Charline CHASTAING;;;;;Chloe REY
2011;UNSS COLLEGE;Bourges;CF4Yx+;FE;2.0;04:44.11;Collège la Madeleine le Mans;COLLEGE LA MADELEINE LE MANS;;;;Alizee MARCHAND;Doriane BEAUNE;Chloe PLUMAS;Aude BOUCHEVREAU;;;;;Floriane GENES
2015;U15;Vichy;U15F1x;FB;3.0;04:44.13;Cercle Nautique de Mimizan;CERCLE NAUTIQUE DE MIMIZAN;;;;Louise JEANSON;;;;;;;;
2016;U17;Vichy;U17H8+;FA;4.0;04:44.15;Cercle Nautique d'Annecy;CERCLE NAUTIQUE D'ANNECY;;;;Nicolas VINCENT;Martin BREMARD;Thibault DES ROCHES DE CHASSAY;Simon FAIVRE;Brice BOISSET;Tom PUYBARAUD;Nathan NOUS;Nils LAYDEVANT;Ambre MOTA
2015;U17;Libourne;U17H8+;FB;6.0;04:44.19;Aviron Marne et Joinville;AVIRON MARNE ET JOINVILLE;;;;Emeric DELFAU;Valentin RIGAUD;Alexandre ROUVEAU;Théodore VERKLEVEN;Alexandre LEVIER;Armand DESPONS;Oscar DERANCOURT;Victor BERSON;Thalia GUEROULT
2020;MASTERS;Gravelines;MGH2x;S;5.0;04:44.21;Cercle Nautique de Dinan;CERCLE NAUTIQUE DE DINAN;;;;Eric BOYER;Denis RENAULT;;;;;;;
2020;MASTERS;Gravelines;MEH2x;S;13.0;04:44.26;Societe d'Encouragement du Sport Nautique;SOCIETE D'ENCOURAGEMENT DU SPORT NAUTIQUE;;;;Matthieu LE CHEVALLIER;Gilles MUSI;;;;;;;
2025;MASTERS;Brive-la-Gaillarde;MEH2x;FB;6.0;04:44.33;Cercle Nautique Verdunois;CERCLE NAUTIQUE VERDUNOIS;;;;Sebastien RIETH;Thierry RICHARD;;;;;;;
2025;U17;Vichy;U17H8+;FA;4.0;04:44.40;Aviron Bayonnais;AVIRON BAYONNAIS;;;;Jean FOUCHE;Galileo DE IULIIS;Kaïs CARAPINA;Louis SOCHON;Ellande VIRAULT;Vinicio BONNIFAIT;Oscar DELMAS;Gauthier DE FRITSCH;Alexis PEYRELONGUE
2011;UNSS COLLEGE;Bourges;CF4Yx+;FB;6.0;04:44.40;Collège Anna de Noailles Larche;COLLEGE ANNA DE NOAILLES LARCHE;;;;Aurelie POUCH;Melanie DUPPI;Charline CHASTAING;Mathilde MANET;;;;;Corentin NOUILLE
2022;U15;Gérardmer;U15H2x;FE;2.0;04:44.42;Aviron Club du Lac d'Aiguebelette;AVIRON CLUB DU LAC D'AIGUEBELETTE;;;;Baptiste ORAIN;Simon RAPIN;;;;;;;
2011;UNSS COLLEGE;Bourges;CF4Yx+;FD;5.0;04:44.42;Collège Jules Ferry Joinville le Pont;COLLEGE JULES FERRY JOINVILLE LE PONT;;;;Capucine POIRRET;Camille BANCHET;Audrey SANCHEZ;Ninon AUBRY;;;;;Cassandre HUGUES
2012;U17;Vichy;U17H8+;FC;3.0;04:44.42;Sport Nautique Compiegnois;SPORT NAUTIQUE COMPIEGNOIS;;;;Mickael GUESNIER;Valentin BERLEUX;Marc BRISSON;Alexandre MONTAGNE;Mathieu VAN BUUREN;Samy DRAY;Elias KAID-OMAR;Camille BRETON;Tom DONNETTE
2025;U17;Vichy;U17H8+;FA;5.0;04:44.44;Aviron Union Nautique de Villefranche;AVIRON UNION NAUTIQUE DE VILLEFRANCHE;;;;Leo SCHAFF;Gabriel VALENTE;Merlin MOULAIRE;Louis PERRENOT;Raphaël REBECA;Maxens MOUE;Louis LAPEYRE;Antoine GERBE;Elsa GUELPA
2015;U17;Libourne;U17H4x;FA;1.0;04:44.44;Boulogne 92;BOULOGNE 92;;;;Pavle SIMIC;Théo LIÉBERT;Andreas SWARTLEY;Loic BILAU;;;;;
2017;PR;Cazaubon;SH1x TA;FA;3.0;04:44.45;Aviron Club Albigeois;AVIRON CLUB ALBIGEOIS;;;;Thierry LAURENT;;;;;;;;
2017;U17;Libourne;U17H8+;FB;2.0;04:44.46;Societe Nautique de l'Oise;SOCIETE NAUTIQUE DE L'OISE;;;;Matis HAMOUCHE;Hugo HENRI;Louis BRUGG;Lucas MAJOREK;Tristan DAVAIN;Nicolas EZRATTI;Julien COCHET;Damon DORISON;Lyes HAMOUCHE
2011;UNSS COLLEGE;Bourges;CF4Yx+;FD;6.0;04:44.47;Collège Pierre Brossolette le Perreux sur Marne;COLLEGE PIERRE BROSSOLETTE LE PERREUX SUR MARNE;;;;Mathilde HELAINE;Raphaelle ROCHET;Nina DRIGNY;Aurore MAISONDIEU;;;;;Alexis MENEZ
2024;U17;Vichy;U17H8+;FA;4.0;04:44.61;Aviron Club de Lyon-Caluire;AVIRON CLUB DE LYON CALUIRE;;;;Oscar LORTET;Ulysse RIEHL;Sacha MANON;Ivan GEORGIEV;Thibault MINCK-TARDY;Paul LAIGLE;Pierre BAVU;Tom MALBLANC;Baptiste ALEXANDRE
2017;U17;Libourne;U17H8+;FB;3.0;04:44.61;Societe Nautique de Lagny;SOCIETE NAUTIQUE DE LAGNY;;;;Yanis BEIGNON;Aurelien CUSTODY;Augustin ROCHEREAU;Ryan VERNEL;Florent JEANGILLES;Valentin GILLOT DE BERNARDIN;Maxence GRANDAME;Maxime BERNE;Leonard GAY
2022;MASTERS;Mâcon;MEM2x 50%H/F;FB;6.0;04:44.64;Club Nautique de Laval;CLUB NAUTIQUE DE LAVAL;;;;Loic JOURNEAULT;Valerie PEYON;;;;;;;
2015;U15;Vichy;U15F2x;FD;6.0;04:44.65;Sport Nautique de Nancy;SPORT NAUTIQUE DE NANCY;;;;Margaux BACHELIER;Lea LAFORET;;;;;;;
2021;U15;Mantes-la-Jolie;U15F2x;FE;4.0;04:44.67;Aviron Toulousain;AVIRON TOULOUSAIN;;;;Helene ABADON;Ninon LABASTRIES-PAVIOT;;;;;;;
2020;MASTERS;Gravelines;MCF2x;S;3.0;04:44.69;Societe des Regates Messines;SOCIETE DES REGATES MESSINES;;;;Isabelle SAINT ANTOINE;Angele DELAHAYE;;;;;;;
2019;U17;Libourne;U17H8+;FA;2.0;04:44.69;Societe Nautique de Bayonne;SOCIETE NAUTIQUE DE BAYONNE;;;;Lilian LOUISARCENE;Eliott POIRIER;Imhemad ALQADDAFI;Pierre BOURGEOIS;Iker CORNIERE;Pierreesteban SOUBESTE;Mateo FERNANDEZ;Logan GARAY;Amelie COELHO
2017;U17;Libourne;U17H8+;FC;2.0;04:44.70;Tours Aviron Club;AVIRON TOURS METROPOLE;;;;Alexandre ELEAUME;Anatole ROUSSEAU;Alex TRAVAUX;Ambroise GLERANT;Nicolas GARNIER;Amaury VASSEUR;Valentin BERTON BOUVIER;Cyrille CHEVALLIER;Lola CLEDE GAUTIER
2022;MASTERS;Mâcon;MCF2x;FB;6.0;04:44.72;Aviron Majolan;AVIRON MAJOLAN;;;;Florence SAVOYE;Marie Angelique BAILLET;;;;;;;
2020;MASTERS;Gravelines;MCF2x;S;4.0;04:44.75;Societe Nautique de Monaco;SOCIETE NAUTIQUE DE MONACO;;;;Celine MARION;Emmanuelle MORIN;;;;;;;
2021;U17;Mantes-la-Jolie;U17H8+;FA;1.0;04:44.75;Entente Nautique d'Aix-les-Bains Aviron;ENTENTE NAUTIQUE D'AIX LES BAINS AVIRON;;;;Quentin DUCIMETIERE;Quentin VERDENAL;Aurelien DEILLON;Gafurr RUSHITI;Timothe BEAUVAIS;Arthur GAUDILLIERE;Clovis COQUET;Thomas VILLAIN;Quentin GALLET
2014;U17;Vichy;U17H8+;FC;4.0;04:44.75;Angers Nautique Aviron;ANGERS NAUTIQUE AVIRON;;;;Luc NERREMBOURG;Hugues BUREAU;Jean TOURNANT;Gregoire LEFAIVRE;Marin LACROIX;Matheo HINSCHBERGER-BOCHER;Jeremy DE COLNET;Basile DUCHAUSSOY;Benjamin ESNAULT
2012;PR;Cazaubon;HSTA1x;FA;3.0;04:44.79;Langres Aviron Canoe-Kayak 52;LANGRES AVIRON CANOE KAYAK;;;;Pierre JUY;;;;;;;;
2018;U15;Le Creusot;U15H4x+;FL;5.0;04:44.79;Aviron Marne et Joinville;AVIRON MARNE ET JOINVILLE;;;;Gabriel KLEIN;Antoine SABATRY;Thomas BERNARDI;Theo PACHOLCZYKSOARES;;;;;Lina BARBIER
2012;U17;Vichy;U17H4-;FA;2.0;04:44.81;Aviron Majolan;AVIRON MAJOLAN;;;;Arnaud BLANC;Florent PAILLET;Julien GADOUD;Yannis HOUOT TERFOUS;;;;;
2016;SPRINTS PR;Gérardmer;SH1x LTA-ID;FA;6.0;04:44.84;Cercle Nautique des Regates Remoises;CERCLE NAUTIQUE DES REGATES REMOISES;;;;Fabrice AVRILLON;;;;;;;;
2014;U17;Vichy;U17H4-;FA;4.0;04:44.85;Aviron Romanais Peageois RCBI;AVIRON NAUTIQUE ROMANAIS PEAGEOIS GOUBETOIS;;;;Hugo CHANCEAU;Auguste VAUTHIER;Anthony AVICE ARRU;Guillaume COCAULT;;;;;
2015;UNSS COLLEGE;Bourges;CM4Yx+ 50%H/F;FD;1.0;04:44.85;Collège Victor Hugo Saint Yorre;COLLEGE VICTOR HUGO SAINT YORRE;;;;Theo ROUSSEAU;Laureline AUJOULAT;Camille DUSSAUSSOY;Christopher GRONDIN;;;;;Marina HAINON
2024;UNSS COLLEGE;Brive-la-Gaillarde;CF4Yx+;FC;5.0;04:44.89;COL Mercier Saint-Paul Meulan-en-Yvelines;COL MERCIER SAINT PAUL MEULAN EN YVELINES;;;;Abigaël GROSHENRY;Courtney RECOLET;Floriane DUVAL;Rose BUYENS;;;;;Pearline GOMES DA MOURA
2025;U17;Vichy;U17H4x;FA;3.0;04:44.94;Societe Nautique de Monaco;SOCIETE NAUTIQUE DE MONACO;;;;Maxence VIRY;Alban MARSON;Louis PASTOR;Adrien COLARDELLE;;;;;
2023;FFSU;Brive-la-Gaillarde;SH1x FFSU;FB;5.0;04:44.95;IMT Atlantique Nantes (PL);IMT ATLANTIQUE NANTES (PL);;;;Lilian DESCORMES;;;;;;;;
2024;MASTERS;Mâcon;MGF2x;FB;2.0;04:45.00;Base Nautique de Sciez;BASE NAUTIQUE DE SCIEZ;;;;Genevieve HABRARD;Francoise GUILLOUET;;;;;;;
2021;U15;Mantes-la-Jolie;U15M4x+ 50%H/F;FD;2.0;04:45.04;Gravelines Aviron;GRAVELINES AVIRON;;;;Lily Rose POTTE;Romane JOIGNEAUX;Raphael HELLEBOID;Evan SAISON;;;;;Leana DUCORNETZ
2012;UNSS COLLEGE;Libourne;CF4Yx+;FC;5.0;04:45.09;Collège la Madeleine le Mans;COLLEGE LA MADELEINE LE MANS;;;;Doriane BEAUNE;Chloe PLUMAS;Alizee MARCHAND;Aude BOUCHEVREAU;;;;;Angeline BARON
2025;U17;Vichy;U17H8+;FB;1.0;04:45.15;Societe Nautique du Perreux;SOCIETE NAUTIQUE DU PERREUX;;;;Maxime PICHARLES;Jules LIORET;Aris AMRANE;Renato MARTIN BRIGNON;Oskar LIRAUD;Nael NOURI;Oscar MESLIEN;Alessandro DE ANGELIS;Maitena MATEUS
2013;UNSS COLLEGE;Gravelines;CF4Yx+;FD;5.0;04:45.26;Collège l'ÃPine Novalaise;COLLEGE L'APINE NOVALAISE;;;;Marine DAULIN GALLERAND;Melissa RUIZ;Morgane LEVET;Maude TASSET;;;;;Lea GOUTIERE
2013;U15;Bourges;U15F1x;FB;1.0;04:45.30;Club Nautique de Charleville-Mezieres;CLUB NAUTIQUE DE CHARLEVILLE MEZIERES;;;;Lucie POJE;;;;;;;;
2015;UNSS COLLEGE;Bourges;CM4Yx+ 50%H/F;FC;6.0;04:45.33;Collège la Madeleine le Mans;COLLEGE LA MADELEINE LE MANS;;;;Julien ROHAUT;Lea LETOURNEUX;Marie LEGUERINAIS;Arthur LAUNAY;;;;;Valorie BARRAULT
2012;UNSS LYCEE;Libourne;LF4x/+;FD;1.0;04:45.36;Lycée Jacques Prevert Dole;LYCEE JACQUES PREVERT DOLE;;;;Laura IHUEL;Ysatis MENESTRIER;Pauline LACROIX;Manon MARGUET;;;;;
2013;U15;Bourges;U15F1x;FD;2.0;04:45.36;Union Nautique de Cambrai;UNION NAUTIQUE DE CAMBRAI;;;;Rhizlaine SAUVAL;;;;;;;;
2021;U17;Mantes-la-Jolie;U17H8+;FA;2.0;04:45.37;Cercle Aviron de Nantes;CERCLE AVIRON DE NANTES;;;;Nathan COTINAT;Hugo LECOT;Martin COLLIARD;Benoit BAILHACHE;Audran BELBEOC H;Romain DEBARD;Arthur HACQUES;Matthieu DEVYS;Selma DHAOUADI
2023;FFSU;Brive-la-Gaillarde;SF1x FFSU;FA;4.0;04:45.38;ASU Angers;ASU ANGERS;;;;Oceane RAULT;;;;;;;;
2019;MASTERS;Vichy;MFF1x;FA;5.0;04:45.43;Aviron Marne et Joinville;AVIRON MARNE ET JOINVILLE;;;;Gabrielle ZEITOUN-WYBIER;;;;;;;;
2023;U17;Libourne;U17H4x;FA;1.0;04:45.43;Rowing Club Cannes-Mandelieu;ROWING CLUB CANNES MANDELIEU;;;;Jordan GODDE;Guilhem MONTERO MICHON;Gabin FANTINO APERT;Aaron ODDO;;;;;
2019;U17;Libourne;U17H4x;FA;2.0;04:45.46;Aviron Union Nautique de Villefranche;AVIRON UNION NAUTIQUE DE VILLEFRANCHE;;;;Thibault VIAL;Tom MOULAIRE;Morgann GUELPA;Virgile LEBRUN;;;;;
2017;PR;Cazaubon;SF1x LTA-PD;Finale;4.0;04:45.51;Cercle Nautique de Meaux;CERCLE NAUTIQUE DE MEAUX;;;;Vincent COURTOIS;;;;;;;;
2017;PR;Cazaubon;SH1x LTA-PD;FA;4.0;04:45.51;Cercle Nautique de Meaux;CERCLE NAUTIQUE DE MEAUX;;;;Vincent COURTOIS;;;;;;;;
2020;MASTERS;Gravelines;MGH4-;S;2.0;04:45.60;Club d'Aviron Saintais;CLUB D'AVIRON SAINTAIS;;;;Gerard LE FLOHIC;Serge SEGUINEAU;Claude PANNIER;Jean Loup PECHIN;;;;;
2020;MASTERS;Gravelines;MBH2-;S;11.0;04:45.63;Societe Nautique de la Haute Seine;SOCIETE NAUTIQUE DE LA HAUTE SEINE;;;;Kevin KALLENKOOT;Kamel KOLIAI;;;;;;;
2020;MASTERS;Gravelines;MEH2x;S;14.0;04:45.63;Aviron Union Nautique de Lille;AVIRON UNION NAUTIQUE DE LILLE;;;;Richard ROUBINOWITZ;Erwan GIVELET;;;;;;;
2022;U15;Gérardmer;U15F2x;FF;2.0;04:45.63;Cercle Nautique de Melun;CERCLE NAUTIQUE DE MELUN;;;;Lola MATMATI BELIN;Emna CHERQAOUI;;;;;;;
2018;U15;Le Creusot;U15H4x+;FK;6.0;04:45.65;Cercle Nautique de Melun;CERCLE NAUTIQUE DE MELUN;;;;Andry SIKYRYNSKYY;Leonard CARAMAN;Louis BLANC;Cyprien NICOLAS;;;;;Adrien MARTEL
2013;FFSU;Gravelines;FU2x;FB;1.0;04:45.68;U.Paris Est Creteil;U.PARIS EST CRETEIL;;;;Julie MANDELLI;Gabrielle CAPELLE;;;;;;;
2013;UNSS COLLEGE;Gravelines;CF4Yx+;FC;5.0;04:45.68;Collège Saint Jean Baptiste de la Salle Charleville MeziãRes;COLLEGE SAINT JEAN BAPTISTE DE LA SALLE CHARLEVILLE MEZIARES;;;;Alexia KARLIN;Lucie POJE;Emma GRUNENWALD;Charlene GODART;;;;;Pol GODRON
2020;MASTERS;Gravelines;MDH2-;S;9.0;04:45.70;Aviron Grenoblois;AVIRON GRENOBLOIS;;;;Samuel COMBE;Francis MASCI;;;;;;;
2017;UNSS COLLEGE;Gérardmer;CF4Yx+;FB;5.0;04:45.70;Collège Saint Elisabeth les Pennes Mirabeau;COLLEGE SAINT ELISABETH LES PENNES MIRABEAU;;;;Chloé SANTINI;Marine MATHIEU;Inaya BOURA;Amélie BAYOL;;;;;Killian PUECH
2018;U17;Brive-la-Gaillarde;U17H8+;FB;2.0;04:45.79;Societe Nautique de la Basse Seine;SOCIETE NAUTIQUE DE LA BASSE SEINE;;;;Marius DEGARDIN;Adrien LECOMTE;Yanis UNY YACOUBI;Vincent SCHWENDENWEIN;Yohan BARA-BUTEZ;Louis MARCHAL;Baptiste DE MONTGOLFIER;Felix KALIL;Aline COINTREL
2014;U17;Vichy;U17H4x;FB;4.0;04:45.80;Cercle Nautique d'Annecy;CERCLE NAUTIQUE D'ANNECY;;;;Christopher ROBINET;Camille CERISIER;Jules FAIVRE;Guillaume GRAFF;;;;;
2020;MASTERS;Gravelines;MCH4x;S;19.0;04:45.83;Emulation Nautique de Bordeaux;EMULATION NAUTIQUE DE BORDEAUX;;;;Renaud LAHEURTE;Gilles GOURC;Boris SOURBES;Pierre TRICHET;;;;;
2011;UNSS LYCEE;Bourges;LF4x/+;FD;5.0;04:45.84;Lycée Michelet Nantes;LYCEE MICHELET NANTES;;;;Maud GAUDIN;Lucie DOUILLARD;Lucie BIORET;Clara LE BOUTER;;;;;
2016;UNSS COLLEGE;Le Creusot;CF4Yx+;FD;2.0;04:45.88;Collège Jeanne d'Arc Moissac;COLLEGE JEANNE D'ARC MOISSAC;;;;Emma TIJOU;Camille HEBRARD;Clementine LASSERRE;Anais DUCHEMIN;;;;;Geremy MASCARAS
2015;U15;Vichy;U15F1x;FB;4.0;04:45.89;Association Sportive Mantaise;ASSOCIATION SPORTIVE MANTAISE;;;;Caroline NERE;;;;;;;;
2023;MASTERS;Le Creusot;MDF1x;FB;2.0;04:45.94;Val de Seine Nautique;VAL DE SEINE NAUTIQUE;;;;Benedicte BOCHARD;;;;;;;;
2012;U17;Vichy;U17H8+;FC;4.0;04:45.95;Cercle Nautique de Versailles;CERCLE NAUTIQUE DE VERSAILLES;;;;Gregoire AMIRAT;Quentin FOURGEOT;Quentin DE GUILLEBON;Donatien VAAST;Alexandre DAUQUIER;Etienne GENDRON;Martin MILLISCHER;Matthieu MERCIER;Harold BLERIOT
2014;UNSS COLLEGE;Le Creusot;CF4Yx+;FC;6.0;04:45.98;Collège Charles III Monaco;COLLEGE CHARLES III MONACO;;;;Charlie SECOND;Anaëlle OUAKNIN;Marie GUIRI;Frida DENAIN;;;;;Matteo TRIVELLI
2017;U17;Libourne;U17H4x;FA;4.0;04:45.98;Cercle Nautique d'Annecy;CERCLE NAUTIQUE D'ANNECY;;;;Nicolas VINCENT;Brice BOISSET;Nathan NOUS;Tom PUYBARAUD;;;;;
2012;UNSS COLLEGE;Libourne;CF4Yx+;FD;3.0;04:46.08;Collège Irene Joliot Curie Aigues Mortes;COLLEGE IRENE JOLIOT CURIE AIGUES MORTES;;;;Venissa YOUNES;Kasandra TUTAGATA;Maeva LUCAS;Marie Sara CONTRERAS;;;;;Mathilde LLACER
2025;U17;Vichy;U17H8+;FB;2.0;04:46.09;Aviron Club du Lac d'Aiguebelette;AVIRON CLUB DU LAC D'AIGUEBELETTE;;;;Maxence RIQUOIR;Timeo PERROTTON;Ronan LEVET;Lucas DENAYER;Mael GARIOUD;Arthur CHAVET;Leo CANTAT-GUGLIELMACCI;Ihsan BAGHLOUL;Raoul BOUTIN
2016;U17;Vichy;U17H8+;FA;5.0;04:46.12;Sport Nautique d'Amiens;SPORT NAUTIQUE D'AMIENS;;;;Hugo PLASKOWSKI;Hugo VERRIER;Nicolas JACOB;Eliot CAMBIEN;Clement TROGNEUX;Aurelien BARBIER;Louis FROUARD;Yann TERROM;Paul VANDUYNSLAEGER
2013;U15;Bourges;U15F1x;FA;6.0;04:46.14;Aviron du Bocage;AVIRON DU BOCAGE;;;;Manon LOBB;;;;;;;;
2012;U17;Vichy;U17H4x;FA;5.0;04:46.23;Aviron Club Soustonnais;AVIRON CLUB SOUSTONNAIS;;;;Victor LORCET;Kevin LAGARDERE;Thomas DUVIGNACQ;Ronan BRIAND;;;;;
2014;U17;Vichy;U17H4x;FA;3.0;04:46.25;Aviron de Sevrier Lac d'Annecy;AVIRON DE SEVRIER LAC D'ANNECY;;;;Diego SIRLIN;Hugo HEER;Guillaume MALECKI;Robin NOUS;;;;;
2023;U17;Libourne;U17H8+;FB;2.0;04:46.29;Boulogne 92;BOULOGNE 92;;;;Noa TRAN DINH THACH;Elliot HACOPIAN;François THIRE-LACAULT;Maxime VICTOIR;Juno IM;Kees AUSEMS;Milo DHONNER;Matthieu VETILLART;Clémence AUDEBERT
2012;U17;Vichy;U17H4-;FA;3.0;04:46.32;Cercle de l'Aviron de Marseille;CERCLE DE L'AVIRON DE MARSEILLE;;;;Benjamin PINNA;Clement TAMBON;Hugo LUCZYNSKI;Hugo MANGINI;;;;;
2020;MASTERS;Gravelines;MCF2x;S;5.0;04:46.36;Societe Nautique de la Basse Seine;SOCIETE NAUTIQUE DE LA BASSE SEINE;;;;Anne-Laure MALDAME;Sylvie RADKO;;;;;;;
2017;U17;Libourne;U17H4x;FA;5.0;04:46.47;Aviron Club de Lyon-Caluire;AVIRON CLUB DE LYON CALUIRE;;;;Anthony BOSDEDORE;Chahine MAMOUNI;Matteo THEVES;Paul GUERINOT;;;;;
2012;U17;Vichy;U17H4x;FB;1.0;04:46.53;Cercle Nautique des Regates Remoises;CERCLE NAUTIQUE DES REGATES REMOISES;;;;Valentin BLAISON;Aurelien BIVERT;Tristan MARTIN;Camilien CARDOT-MUNIER;;;;;
2017;U15;Vichy;U15H4x+;FO;4.0;04:46.62;Entente Nautique d'Aix-les-Bains Aviron;ENTENTE NAUTIQUE D'AIX LES BAINS AVIRON;;;;Adrien GERIN;Quentin GALLET;Romain GUESSAS;Lily RAVIER;;;;;Garance LOGE
2015;FFSU;Bourges;FU4x;FB;5.0;04:46.64;Centrale Nantes;CENTRALE NANTES;;;;Blandine DE LOUVENCOURT;Zoe DAGUIN;Fanny CHAINIAU;Sarah DUVAL--DACHARY;;;;;
2013;U15;Bourges;U15F1x;FD;3.0;04:46.65;Aviron Stephanois;AVIRON STEPHANOIS;;;;Justine THIEBAUX;;;;;;;;
2020;MASTERS;Gravelines;MFH4x;S;3.0;04:46.66;Club LEO Lagrange Armentieres;CLUB LEO LAGRANGE ARMENTIERES;;;;Junca MIQUEL;Jean-Luc DEKEYSER;Jeanjacques DELANOUE;Stephane DEKEYSER;;;;;
2014;U17;Vichy;U17H8+;FC;5.0;04:46.77;Cercle Nautique de Versailles;CERCLE NAUTIQUE DE VERSAILLES;;;;Remi ROUSSEAU;Paul Marie GACIC;Gaspard DE BREBISSON;Alphonse MAGNAVAL;Vadim POUZYNIN;Quentin GARNIER;Hugo VALLEE;Amaury DE GUILLEBON;Mayeul BLONDEL
2022;FFSU;Brive-la-Gaillarde;SF2x FFSU;FA;5.0;04:46.78;Université Paris 1;UNIVERSITE PARIS;;;;Aurore HULIN-MOCCA;Alice CHIAPPORI;;;;;;;
2012;UNSS COLLEGE;Libourne;CF4Yx+;FC;6.0;04:46.78;Collège Jean Baptiste Carpeaux Valenciennes;COLLEGE JEAN BAPTISTE CARPEAUX VALENCIENNES;;;;Patricia CZEKALSKI;Ilanah ZENOU;Romane AMEZIANE;Angelique ROTH;;;;;Violette REYNAUD
2016;U17;Vichy;U17H4x;FA;1.0;04:46.82;Club Nautique et Athletique de Rouen;CLUB NAUTIQUE ET ATHLETIQUE DE ROUEN;;;;Theo HIS;Toma BONO;Louis PRUVOST;Pierrick VERGER;;;;;
2020;U17;Brive-la-Gaillarde;U17H4x;FA;1.0;04:46.92;Societe Nautique de Monaco;SOCIETE NAUTIQUE DE MONACO;;;;Donovan SAVARY;Lucas FAUCHE;Enzo CASSINI-PELOUX;Joan CIVIT;;;;;
2019;U17;Libourne;U17H8+;FA;3.0;04:46.92;Angers Nautique Aviron;ANGERS NAUTIQUE AVIRON;;;;Marco MALECOT;Jean-Baptiste DE SARRAZIN;Martin CHOICHILLON;Alexis ROUILLIER;Eliott DELAHOUSSE;Jean BARANGER;Thomas LOYAT;Mathieu SALAT;Leonie BERGUE
2015;FFSU;Bourges;HU2x;FC;3.0;04:46.93;Polytech Orléans;POLYTECH ORLEANS;;;;Antoine DUCATILLON;Nathan HAGUENAUER;;;;;;;
2011;FFSU;Bourges;FU2x;FA;6.0;04:46.94;U.Rennes 1;U.RENNES;;;;Eva-Maria WACHTER;Lucie ARAUJO;;;;;;;
2022;UNSS COLLEGE;Brive-la-Gaillarde;CF4Yx+;FC;4.0;04:46.97;COL Jean Baptiste SAY Paris;COL JEAN BAPTISTE SAY PARIS;;;;Inès ROURI;Ines TAIKI;Solveig HALLE;Ava CROCHET;;;;;Jasmine BOUKHELADENE MAZOUZ
2012;U17;Vichy;U17H4x;FB;2.0;04:46.98;Club Nautique et Athletique de Rouen;CLUB NAUTIQUE ET ATHLETIQUE DE ROUEN;;;;Simon PETIT;Vincent CARPENTIER;Nicolas BONAMY;Pierre CATELAIN;;;;;
2015;U15;Vichy;U15F1x;FD;6.0;04:46.98;Societe Nautique de Caen et du Calvados;SOCIETE NAUTIQUE DE CAEN ET DU CALVADOS;;;;Annemarie LEGOUIX;;;;;;;;
2017;U17;Libourne;U17H8+;FB;4.0;04:46.98;Cercle de l'Aviron de Chalon sur Saone;CERCLE DE L'AVIRON DE CHALON SUR SAONE;;;;Nathan MARTIN;Hector TRICHARD;Matteo DARGEGEN;Leo NECTOUX;Nathan GIRARD;Léo BESANCON;Alexis LAFAY;Nathan MORANDET;Alexandra MERLIN
2025;U17;Vichy;U17H8+;FB;3.0;04:47.02;Aviron Club de Lyon Caluire;AVIRON CLUB DE LYON CALUIRE;;;;Yannis VAN DEN BOSSCHE;Lucas AOUIFI;Pablo RUBIO WEILL;Matteo PROT;Marceau MILLET;Maxime PHILIS;Timothee GASPARD;Edouard CONVERT;Achille NOIRET
2019;U17;Libourne;U17H4x;FA;3.0;04:47.02;Aviron Club de Lyon-Caluire;AVIRON CLUB DE LYON CALUIRE;;;;Nicolas SAYN;Benjamin BERTHOUD;Samuel ARQUE;Léon PIGNOT DUBOST;;;;;
2013;UNSS COLLEGE;Gravelines;CG4Yx+;FE;3.0;04:47.06;Collège Irãšne Joliot Curie Aigues Mortes;COLLEGE IRASNE JOLIOT CURIE AIGUES MORTES;;;;Fabien DIOT;Tanguy LAUBER;Florian VIGNE;Lucas DELCAMP;;;;;Noemie AMORICH
2012;U17;Vichy;U17H4-;FB;1.0;04:47.07;Sporting Dunkerquois;SPORTING DUNKERQUOIS;;;;Paul GOETGHEBEUR;Julien DESEE;Quentin DEROI;Florian INGELARE;;;;;
2013;U15;Bourges;U15F1x;FD;4.0;04:47.09;Perpignan Aviron 66;PERPIGNAN AVIRON 66;;;;Laureline PERIN;;;;;;;;
